Author_Name,Title,Elapsed_Time,Num_Comments,Number_of_Upvotes,Author_Tier,Author_Discussion_Tier,Num_Followers,Discussion_Golds,Discussion_Silvers,Discussion_Bronzes,Current_Discussion_Rank,Highest_Discussion_Rank,Discussion_link
Neeraj Karoshi,"Free Useful Data Science Tutorials from MIT, Harvard, UC Berkeley",a month,32,13,Contributor,Contributor,2,12,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/304189
Francisco Javier Gallego,ML Algorithms and Data Visualization Cheat Sheets,17 days,12,13,Contributor,Contributor,11,14,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/309120
Durgesh Rao,✔️ Top 5 Websites to Learn Data Science for Free 🔥🔥,5 days,32,13,Expert,Expert,24,212,7,1,266,264,https://www.kaggle.com/getting-started/311198
Nam Vu,Top-down learning path: Machine Learning for Software Engineers,5 years,4,11,Novice,Novice,0,0,1,0,Unranked,Unranked,https://www.kaggle.com/getting-started/27412
aymenmouelhi,Kaggle and Github,5 years,0,12,Contributor,Contributor,7,1,1,1,Unranked,Unranked,https://www.kaggle.com/getting-started/33255
VirgoData,Which are the Best Datasets to explore by New Comers?,5 years,9,12,Expert,Contributor,51,4,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/37426
Aaron Lozier,Is it possible to import additional python libraries?,4 years,21,12,Novice,Novice,0,0,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/39426
TheSemicolon,Tutorials for beginners (Data Analytics with python),4 years,12,12,Novice,Novice,0,1,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/50022
EL,how to make a kernel public ?,4 years,13,12,Novice,Novice,1,7,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/58109
NowYSM,are you looking for data science learning path ? Here is this.,4 years,8,12,Master,Expert,671,139,10,8,1409,37,https://www.kaggle.com/getting-started/61341
Abhay Ghatpande,learntools module not found in Python tutorial,4 years,27,12,Novice,Novice,0,1,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/62805
Ouassim Adnane,📢 A github repo full of data science cheat sheets,3 years,9,12,Master,Master,260,262,38,23,413,50,https://www.kaggle.com/getting-started/85217
Alexander Butakov,How to choose right algorithm (estimator) for you problem,3 years,25,12,Expert,Expert,42,85,7,2,1987,177,https://www.kaggle.com/getting-started/87182
siva krishna,# What is the average lot size (rounded to nearest integer)?,3 years,5,12,Novice,Novice,0,0,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/91027
Nanashi,All about NLP,3 years,5,12,Grandmaster,Grandmaster,1535,572,77,71,61,6,https://www.kaggle.com/getting-started/96770
Raju Kumar Mishra,Want to learn probability and statistics this is very good book,3 years,3,12,Grandmaster,Grandmaster,361,428,28,51,204,24,https://www.kaggle.com/getting-started/96799
Kavin,Certificate,3 years,9,12,Novice,Novice,0,1,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/96913
Raju Kumar Mishra,Modern deep learning techniques for natural language processing,3 years,3,12,Grandmaster,Grandmaster,361,428,28,51,204,24,https://www.kaggle.com/getting-started/97146
AmritK10,Kaggle Learn Courses Certificates,3 years,5,12,Contributor,Contributor,3,2,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/98293
JasonX,NLP - Grammatical Error Correction,3 years,10,12,Expert,Expert,45,137,28,7,653,121,https://www.kaggle.com/getting-started/99504
Raju Kumar Mishra,Backpropgation with visuals,3 years,3,12,Grandmaster,Grandmaster,361,428,28,51,204,24,https://www.kaggle.com/getting-started/101825
Srihari Pramod,Kaggle lingo,3 years,16,12,Expert,Expert,48,127,2,2,1924,172,https://www.kaggle.com/getting-started/101961
Raju Kumar Mishra,Many literature on deep learning,3 years,5,12,Grandmaster,Grandmaster,361,428,28,51,204,24,https://www.kaggle.com/getting-started/103239
Raju Kumar Mishra,Free Python book with detail description,3 years,11,12,Grandmaster,Grandmaster,361,428,28,51,204,24,https://www.kaggle.com/getting-started/105963
Catherine Williams,Advanced SQL - Confused with how different solutions are working,3 years,17,12,Contributor,Contributor,2,4,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/106022
cyberia,Machine Learning Algorithms Tree,3 years,7,12,Master,Master,101,174,36,24,381,32,https://www.kaggle.com/getting-started/106158
reda abdou,free books for every programming language,3 years,4,11,Expert,Contributor,26,25,4,3,Unranked,Unranked,https://www.kaggle.com/getting-started/108197
Parul Pandey,Basics of BASH for Beginners.,2 years,12,12,Grandmaster,Expert,3616,149,27,9,360,146,https://www.kaggle.com/getting-started/109100
David Tang,Comparing Algorithm Types,2 years,9,12,Expert,Expert,119,199,6,5,1040,98,https://www.kaggle.com/getting-started/110296
Parul Pandey,Simple API for creating visualizations in Scikit-Learn,2 years,9,11,Grandmaster,Expert,3616,149,27,9,360,146,https://www.kaggle.com/getting-started/110470
Parul Pandey,Deep Dive into Logistic Regression for Beginners,2 years,0,12,Grandmaster,Expert,3616,149,27,9,360,146,https://www.kaggle.com/getting-started/110581
Marília Prata,NLP course?,2 years,16,12,Master,Master,1983,7618,69,37,4,4,https://www.kaggle.com/getting-started/111481
Prashant Banerjee,Comprehensive Guide for Ensemble Models (with Python codes),2 years,4,12,Grandmaster,Grandmaster,1332,465,42,51,240,18,https://www.kaggle.com/getting-started/115350
Rohan Shetty,NumPy Practice Exercises,2 years,2,12,Contributor,Contributor,8,11,1,0,Unranked,Unranked,https://www.kaggle.com/getting-started/116466
JasonX,Comprehensive Guide to Ensemble Learning,2 years,5,12,Expert,Expert,45,137,28,7,653,121,https://www.kaggle.com/getting-started/117090
Prashant Banerjee,Machine Learning Masterclass,2 years,3,12,Grandmaster,Grandmaster,1332,465,42,51,240,18,https://www.kaggle.com/getting-started/119188
Fares Sayah,Probability📋Cheat sheet📋-Basics to Distributions📊,2 years,3,12,Master,Expert,899,254,18,11,464,68,https://www.kaggle.com/getting-started/120148
Ouassim Adnane,"🏆 Best of Youtube channels for DS & ML #1 ""sentdex""",2 years,0,11,Master,Master,260,262,38,23,413,50,https://www.kaggle.com/getting-started/121001
