Author_Name,Title,Elapsed_Time,Num_Comments,Number_of_Upvotes,Author_Tier,Author_Discussion_Tier,Num_Followers,Discussion_Golds,Discussion_Silvers,Discussion_Bronzes,Current_Discussion_Rank,Highest_Discussion_Rank,Discussion_link
Kashan,"30 Days of ML Challenge, Say Hello!",7 months,29,1176,Contributor,Contributor,22,14,3,1,Unranked,Unranked,https://www.kaggle.com/getting-started/256489
Zeeshan-ul-hassan Usmani,How to Become a Data Scientist at Your Own,4 years,436,953,Grandmaster,Expert,3139,123,5,8,982,50,https://www.kaggle.com/getting-started/44915
DanB,Should You Worry That There Aren't Any New Homes in The Data,4 years,3334,689,Grandmaster,Expert,8017,207,17,10,1194,132,https://www.kaggle.com/getting-started/60581
Firat Gonen,Andrew NG's Notes! 100 Pages pdf + Visual Notes! [3rd Update],3 years,674,678,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/102365
Alexis Cook,Just launched: Course certificates,2 years,375,388,Team,Expert,4494,134,14,16,Unranked,Unranked,https://www.kaggle.com/getting-started/125806
Ouassim Adnane,Some of the Best Kaggle Competitions for Beginners V2,3 years,68,372,Master,Master,260,262,38,23,411,50,https://www.kaggle.com/getting-started/78482
Zeeshan-ul-hassan Usmani,How to Win Kaggle Competitions,4 years,55,355,Grandmaster,Expert,3139,123,5,8,982,50,https://www.kaggle.com/getting-started/44997
Firat Gonen,Data Science Cheat Sheets (all of them in one place !),3 years,298,308,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/104203
Leustagos,Advice to newbies,9 years,58,263,Grandmaster,Expert,358,199,11,7,2359,33,https://www.kaggle.com/getting-started/5003
Pranav Anand,Machine Learning Algorithms Cheatsheet [Python/R],2 years,560,258,Expert,Expert,54,94,8,3,777,155,https://www.kaggle.com/getting-started/156497
Jakob Langenbahn,Projects for Beginner,2 years,109,243,Contributor,Contributor,18,2,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/114864
Alexis Cook,Python Course Discussion,2 years,2088,241,Team,Expert,4494,134,14,16,Unranked,Unranked,https://www.kaggle.com/getting-started/161283
DanB,Learning Materials on Kaggle,5 years,163,235,Grandmaster,Expert,8017,207,17,10,1194,132,https://www.kaggle.com/getting-started/39193
Firat Gonen,Beginner's 1st Stop! All you Need for a Great Start. Bookmark ! (Several topics combined),2 years,207,234,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/108810
Zeeshan-ul-hassan Usmani,Kaggle Progression and Rankings,4 years,143,227,Grandmaster,Expert,3139,123,5,8,982,50,https://www.kaggle.com/getting-started/44919
Aadith Ramia,What tools do people generally use to solve problems?,9 years,268,213,Contributor,Contributor,2,1,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/3642
Ravi Chaubey,Andrew NG's ML Notes! 150 Pages PDF !! [2nd Update],2 years,234,211,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/145431
Ramona Fli,Best Kaggle competitions for beginners,4 years,95,197,Contributor,Contributor,12,8,1,0,Unranked,Unranked,https://www.kaggle.com/getting-started/44088
Ouassim Adnane,📝 List of data science cheat sheet with Python [Updated 3],3 years,80,173,Master,Master,260,262,38,23,411,50,https://www.kaggle.com/getting-started/78118
Muhammad Hamza Javed,16 Courses for Aspiring Data Scientists,4 years,129,165,Contributor,Contributor,47,6,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/62973
Ravi Chaubey,Top 10 Machine Learning Projects for Beginners !!,2 years,27,165,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/150260
Vetrivel-PS,Video ✔️ How Beginners can start Kaggle 💥💯😄 Sharing my Kaggle Expert Journey,2 years,299,154,Expert,Expert,363,94,2,6,491,260,https://www.kaggle.com/getting-started/181267
Firat Gonen,Top 10 Starter Online Machine Learning Courses for Beginners! [3rd Update],3 years,145,146,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/103513
voru588,Free Books and Courses for ML - Stats,2 years,236,145,Expert,Expert,129,105,11,5,856,113,https://www.kaggle.com/getting-started/131312
Alexis Cook,Intro to Machine Learning Course Discussion,2 years,1540,146,Team,Expert,4494,134,14,16,Unranked,Unranked,https://www.kaggle.com/getting-started/161285
Rachael Tatman,Five Day Data Challenge: December 4 - December 8,4 years,176,133,Grandmaster,Expert,8482,568,12,12,649,55,https://www.kaggle.com/getting-started/41174
Nitesh Yadav,Free O'Reilly Books pdf for Data Science,3 years,21,131,Expert,Expert,29,90,2,1,2039,234,https://www.kaggle.com/getting-started/104612
Pragyan Subedi,How to save your dataframe in a CSV file from a kernel in Kaggle.,4 years,33,130,Expert,Contributor,40,25,3,0,Unranked,Unranked,https://www.kaggle.com/getting-started/60617
sai pavan saketh,Companies and Data Science Interview questions,8 months,168,130,Expert,Expert,78,107,4,7,297,153,https://www.kaggle.com/getting-started/252403
Mohamed Hany,5 Kaggle competitions for beginners,8 months,196,127,Master,Master,121,580,35,17,60,43,https://www.kaggle.com/getting-started/249453
Antara Chatterji,✔️Must have Notebooks(Top Rated) 💥 for Beginner Data Scientists,6 months,148,125,Expert,Expert,4,54,1,1,663,486,https://www.kaggle.com/getting-started/273535
Dhruv,Best ways to become a Data Scientist,2 years,220,123,Expert,Expert,28,159,1,1,1012,242,https://www.kaggle.com/getting-started/153045
Kushal Bhavsar,How to get Expert badge🥉🥉 in short time [For Beginner ],3 years,120,120,Expert,Expert,167,86,2,5,1705,181,https://www.kaggle.com/getting-started/98060
Alaa Triki,How I became a Kaggle Expert in just 4 days! 🎉,a year,161,115,Expert,Expert,35,65,1,1,1536,469,https://www.kaggle.com/getting-started/182651
Dan Yamin,Can I delete kernels?,6 years,105,114,Novice,Novice,0,1,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/22197
Rachael Tatman,"5-Day Challenge: Data Cleaning, March 26-30",4 years,59,113,Grandmaster,Expert,8482,568,12,12,649,55,https://www.kaggle.com/getting-started/52652
Sourav Banerjee,💻 Best Data Science Projects for Beginners (Datasets) 🧾,7 months,92,108,Grandmaster,Expert,141,281,1,11,150,113,https://www.kaggle.com/getting-started/256014
Alexis Cook,Intermediate Machine Learning Course Discussion,2 years,1477,102,Team,Expert,4494,134,14,16,Unranked,Unranked,https://www.kaggle.com/getting-started/161289
Luciano Martins,useful Google Labs tool for people playing with data science and deep learning,4 years,100,100,Novice,Novice,0,0,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/47096
sss17,very first step - how to become a Contributor,2 years,117,99,Contributor,Contributor,1,11,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/119626
Fares Sayah,🤖Machine Learning Algorithms tutorials 💻 for BEGINNERS,2 years,114,98,Master,Expert,899,254,18,11,463,68,https://www.kaggle.com/getting-started/140896
KritiDoneria,Tips and Tricks for new coders,6 months,199,98,Master,Master,253,642,39,32,20,16,https://www.kaggle.com/getting-started/271301
Ruchi Bhatia,ML Engineer Roadmap,2 years,71,97,Grandmaster,Master,3037,327,37,25,113,44,https://www.kaggle.com/getting-started/174107
Utpal Mattoo,Dataset for PCA and Factor Analysis,5 years,2,96,Novice,Novice,1,1,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/33424
Tasnim Nishat Islam,Kaggle Community Bangladesh,2 years,151,96,Expert,Expert,148,88,2,3,1281,276,https://www.kaggle.com/getting-started/157850
Sri.,ULTIMATE List of Youtube Channels for Data Science!!!,2 years,103,95,Expert,Expert,10,76,4,1,1444,285,https://www.kaggle.com/getting-started/149987
Hussain Shahbaz Khawaja,Data Science Interview Questions - Personal Experience (2017 - 2021),a year,74,94,Contributor,Contributor,29,21,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/215592
SalvadorDali,How to remove a kernel?,6 years,91,93,Contributor,Contributor,2,8,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/22869
Ruchi Bhatia,Compiled list of 600+ Q&As for Data Science interview prep 🎉,a year,92,89,Grandmaster,Master,3037,327,37,25,113,44,https://www.kaggle.com/getting-started/183949
Berkay Alan,The Best Exercise Platforms for Beginners | Python - R - SQL | Free,7 months,151,87,Expert,Expert,202,265,35,10,105,88,https://www.kaggle.com/getting-started/264104
Firat Gonen,Plotly & Dash => Beginner's Guide to Dashboards,3 years,39,86,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/100831
Ryan Holbrook,Intro to Deep Learning Course Discussion,a year,332,86,Team,Expert,920,146,12,15,Unranked,Unranked,https://www.kaggle.com/getting-started/191966
sai pavan saketh,Statistics Checklist for a Data Science Interview,8 months,114,86,Expert,Expert,78,107,4,7,297,153,https://www.kaggle.com/getting-started/251231
ratan rohith,Sql Cheat sheets,3 years,24,84,Master,Expert,130,241,3,1,1221,142,https://www.kaggle.com/getting-started/97406
Kushal Bhavsar,How to achieve a good score in competition [For Beginner],3 years,170,83,Expert,Expert,167,86,2,5,1705,181,https://www.kaggle.com/getting-started/92180
Sourav Banerjee,"Free of Cost Online Certification Courses (Machine Learning, Data Science, Python)",7 months,115,83,Grandmaster,Expert,141,281,1,11,150,113,https://www.kaggle.com/getting-started/256549
Zeeshan-ul-hassan Usmani,How to Get Started?,4 years,35,81,Grandmaster,Expert,3139,123,5,8,982,50,https://www.kaggle.com/getting-started/45113
ColinMorris,Take the 7-day Learn Python Challenge June 11-17,4 years,220,80,Master,Expert,3120,49,0,3,2283,1855,https://www.kaggle.com/getting-started/58298
Prajna,The Blackjack Problem,4 years,436,80,Novice,Novice,2,2,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/58735
Firat Gonen,Statistics Cheat Sheets in a single PDF !,3 years,101,79,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/105797
alenamclucas,Beginner's group,5 years,134,77,Novice,Novice,29,3,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/35466
Akhilesh D. Kapse,Multiple ways to download output file generated in KAGGLE Kernel !,2 years,29,77,Expert,Expert,44,67,4,1,1190,605,https://www.kaggle.com/getting-started/168312
Aydin Ayanzadeh,The best resources for Deep Learning from beginner to advance,5 years,55,76,Contributor,Contributor,11,30,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/37999
Mansi Priya,"Before becoming a Data Scientist, learn from these mistakes!!",2 years,92,75,Expert,Expert,94,87,4,1,1361,439,https://www.kaggle.com/getting-started/136874
Mostafa Faramin,10 Beginner-friendly Data Science Projects,5 months,124,76,Expert,Contributor,10,27,2,1,Unranked,Unranked,https://www.kaggle.com/getting-started/279539
Raju Kumar Mishra,Excellent notebooks on learning Python conditionals and loops,2 years,57,75,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/115900
Hassan Amin,Kaggle Tutorials for Beginners,2 years,88,74,Expert,Expert,112,73,6,2,1496,246,https://www.kaggle.com/getting-started/125201
Alexis Cook,Progress tracking bug is fixed!,2 years,129,72,Team,Expert,4494,134,14,16,Unranked,Unranked,https://www.kaggle.com/getting-started/124943
Jagadish Sivakumar,Road Map to become a self-made Data Scientist,2 years,116,72,Expert,Expert,51,242,6,5,439,173,https://www.kaggle.com/getting-started/172246
Ravi Chaubey,24 Ultimate Data Science Projects !!,2 years,26,71,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/152823
A Merii,Data Science from Zero to Hero 🎢 (Learning Path),a year,98,71,Expert,Expert,68,74,3,1,1381,533,https://www.kaggle.com/getting-started/198694
Heeral Dedhia,2021 Learning Path to Become a Data Scientist and Machine Learning Expert in a year,a year,60,70,Expert,Expert,120,104,3,6,778,270,https://www.kaggle.com/getting-started/206781
Alexis Cook,Intro to AI Ethics Course Discussion,a year,195,70,Team,Expert,4494,134,14,16,Unranked,Unranked,https://www.kaggle.com/getting-started/230765
Ravi Chaubey,Supervised Learning CheatSheet by Stanford Learning !!,2 years,44,69,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/140409
Karnika Kapoor,The Python Graph Gallery: Learning Data Visualization,4 months,91,69,Grandmaster,Expert,1239,1657,4,7,19,11,https://www.kaggle.com/getting-started/285953
Ouassim Adnane,DATA SCIENCE INTERVIEW QUESTIONS [PDF],3 years,43,68,Master,Master,260,262,38,23,411,50,https://www.kaggle.com/getting-started/92166
NoLogic,"The Incredible PyTorch: a curated list of tutorials, papers, projects, communities and more relating to PyTorch.",2 years,8,68,Expert,Expert,85,560,9,0,572,57,https://www.kaggle.com/getting-started/123904
Mohammad Reza Ghari,Complete Data Science Roadmap by Datacamp,2 years,40,68,Expert,Expert,130,124,3,5,1045,188,https://www.kaggle.com/getting-started/148810
Ravi Chaubey,SQL Complete Cheat-Sheet !!,a year,21,68,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/187397
KritiDoneria,How to not do Kaggling?,3 months,127,66,Master,Master,253,642,39,32,20,16,https://www.kaggle.com/getting-started/291090
EleanorXu,Natural Language Processing Projects,4 years,17,67,Contributor,Contributor,23,2,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/51445
Firat Gonen,Jupyter Notebook Dark Theme !!!!,3 years,58,67,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/97540
Raju Kumar Mishra,SQL interview questions for data scientists,2 years,82,67,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/178151
rounaccc,10 Python for Data Science Cheat Sheets to get started,2 months,128,67,Contributor,Contributor,12,26,1,1,Unranked,Unranked,https://www.kaggle.com/getting-started/302217
Ouassim Adnane,Learn data science and earn badges for free,3 years,53,66,Master,Master,260,262,38,23,411,50,https://www.kaggle.com/getting-started/77751
Andrada Olteanu,🏆 (Grand)Mastering you Data Science Notebook Flow,10 months,18,66,Grandmaster,Expert,3066,138,17,20,78,78,https://www.kaggle.com/getting-started/240537
dasguptajii,Did not receive email for 30 days ML challenge,7 months,98,66,Novice,Novice,2,1,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/256558
Chirag Samal,Best Youtube Channels for Machine Learning,2 years,54,65,Master,Expert,95,162,2,2,1199,292,https://www.kaggle.com/getting-started/111693
Darshan Gandhi,How to get started with Data Science?,2 years,79,65,Expert,Expert,38,72,1,2,1582,316,https://www.kaggle.com/getting-started/149294
Ravi Chaubey,10 Best YouTube Channels for AI and Machine Learning !!,2 years,75,65,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/169485
Jonas Neri,Best Data Science 🧪 Youtube Channels 🎦!,8 months,141,65,Expert,Expert,13,77,1,2,750,495,https://www.kaggle.com/getting-started/252849
Rachael Tatman,Slides from the first SQL livestream,3 years,70,64,Grandmaster,Expert,8482,568,12,12,649,55,https://www.kaggle.com/getting-started/97118
Ravi Chaubey,10 Recommended Sites to Learn Data Science !!,2 years,68,64,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/157678
hemil26,Beginner Datasets and Notebooks to work with! 📚,a month,92,62,Expert,Contributor,28,13,1,1,Unranked,Unranked,https://www.kaggle.com/getting-started/305947
Ravi Chaubey,Top Data Science Resources to follow !!,2 years,47,61,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/153342
Raju Kumar Mishra,Excellent Collection of Pandas Interview Questions,2 years,7,61,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/119445
Firat Gonen,Statistics book completely made with cartoons!,2 years,115,61,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/134135
Ravi Chaubey,A beginner's guide to Data Science !!,2 years,96,61,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/151585
Sanju Sci,The Beginner’s Guide to Kaggle,3 years,66,60,Contributor,Contributor,1,3,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/101345
Ravi Chaubey,Hypothesis Testing(Complete Notes) in Python,2 years,22,60,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/145707
Sourav Banerjee,🔥 Best YouTube Channels for Learning Machine Learning and Data Science 🔥,7 months,112,59,Grandmaster,Expert,141,281,1,11,150,113,https://www.kaggle.com/getting-started/261886
Erik van de Ven,"Kaggle Progression System, when do you get a medal?",5 years,76,58,Contributor,Contributor,6,29,1,0,Unranked,Unranked,https://www.kaggle.com/getting-started/27557
DanB,Tutorials for newcomers to data science,5 years,17,57,Grandmaster,Expert,8017,207,17,10,1194,132,https://www.kaggle.com/getting-started/37712
Lathwal,Part 1 - Time Series Analysis in Python (Notebooks & Tutorials),4 years,20,58,Master,Expert,615,131,4,4,2185,62,https://www.kaggle.com/getting-started/54280
Firat Gonen,"Every single Machine Learning course on the internet, ranked by reviews",3 years,83,58,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/92672
Raju Kumar Mishra,Excellent Pandas Exercise to Learn Pandas,2 years,9,58,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/120274
Ravi Chaubey,Plotly Cheat-Sheet (Interactive Visuals),2 years,6,58,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/140526
Ravi Chaubey,"V2-Data Visualization Tutorial, More than 100 Plots !!",2 years,30,58,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/155354
Raju Kumar Mishra,"13 notebooks to learn Pytorch basic, Alexnet, ResNet, DenSeNet, LeNet and VGG",2 years,42,58,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/177064
Aman Kumar,Most Common Machine Learning Algo + Codes,a year,141,57,Master,Expert,122,149,7,7,415,182,https://www.kaggle.com/getting-started/186635
Shawn Yan,Completeness for courses,3 years,164,56,Contributor,Contributor,1,4,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/103455
Eswar Chand,Top 10 Data Science Projects that strengthens your resume,2 years,35,56,Master,Expert,132,252,3,2,896,145,https://www.kaggle.com/getting-started/136089
Ravi Chaubey,Stanford : Unsupervised Learning Cheat Sheet,2 years,30,55,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/159877
KritiDoneria,[Beginner] Things to do in the first 24 hours after making a Kaggle account,10 months,88,55,Master,Master,253,642,39,32,20,16,https://www.kaggle.com/getting-started/238467
Ravi Chaubey,MIT Complete Math Notes on ML,2 years,28,55,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/140502
Mohammad Reza Ghari,15 Practical Tools to learn in 2020,2 years,158,55,Expert,Expert,130,124,3,5,1045,188,https://www.kaggle.com/getting-started/148501
Aman Kumar,The Quick Python Cheat Book - 28 Sheets,2 years,104,55,Master,Expert,122,149,7,7,415,182,https://www.kaggle.com/getting-started/180598
C.V.R.S. Sastry,How do I run a script on Kaggle?,6 years,153,54,Contributor,Contributor,0,1,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/23026
Springrid,Progress to Contributor to make your voice count!,5 years,149,54,Contributor,Contributor,1,7,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/37794
KraLMachine,Free courses to become a data scientist,3 years,85,54,Expert,Expert,136,128,1,1,2125,152,https://www.kaggle.com/getting-started/80076
Mohamed Hany,How to be a Kaggle Expert in 3 steps using 4 tips,9 months,66,54,Master,Master,121,580,35,17,60,43,https://www.kaggle.com/getting-started/241683
Pavel Kunitsyn,Becoming a Data Scientist: The Ultimate Approach,7 months,105,53,Contributor,Contributor,3,18,1,1,Unranked,Unranked,https://www.kaggle.com/getting-started/267023
Zeeshan-ul-hassan Usmani,Kaggle Tutorials,4 years,16,53,Grandmaster,Expert,3139,123,5,8,982,50,https://www.kaggle.com/getting-started/45536
DanB,When Would You Prefer a Decision Tree?,4 years,148,53,Grandmaster,Expert,8017,207,17,10,1194,132,https://www.kaggle.com/getting-started/60582
Sanyam Bhutani,Kernel links for Fastai (2019): Practical Deep Learning for coders,3 years,29,52,Master,Master,721,372,43,49,45,45,https://www.kaggle.com/getting-started/79088
Fares Sayah,📅30 days of Data Science Interview 👔 Preparation - Day 1,2 years,16,53,Master,Expert,899,254,18,11,463,68,https://www.kaggle.com/getting-started/120293
Shubham Chambhare,Data Cleaning Steps.,8 months,33,53,Contributor,Contributor,5,2,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/250322
Zeeshan-ul-hassan Usmani,"What is Kaggle, Why I Participate, What is the Impact?",4 years,41,52,Grandmaster,Expert,3139,123,5,8,982,50,https://www.kaggle.com/getting-started/44916
Fares Sayah,📅30 days of Data Science Interview👔Preparation - All in one,2 years,19,52,Master,Expert,899,254,18,11,463,68,https://www.kaggle.com/getting-started/124056
Ravi Chaubey,Data Science Internship – Skills Required !!,2 years,11,52,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/177311
Ravi Chaubey,Top 50 Machine Learning Interview Q/A !!!,2 years,30,51,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/148717
Julia Says,You need to check out these resources to learn ML,2 years,93,51,Expert,Expert,72,51,2,2,1561,345,https://www.kaggle.com/getting-started/159945
abdulmohsen,Accessing data in the Kaggle script,5 years,86,50,Novice,Novice,1,0,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/25930
Ravi Chaubey,EBook - Statistics 101,2 years,34,50,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/146796
Aman Kumar,Basic Python Codes of Data Analysis for Beginners.,2 years,90,50,Master,Expert,122,149,7,7,415,182,https://www.kaggle.com/getting-started/157092
Jorellano,KaggleNoobs Slack chat,6 years,179,49,Contributor,Contributor,20,7,2,0,Unranked,Unranked,https://www.kaggle.com/getting-started/20577
Hitechbunny,How to handle categorical data in scikit with pandas,5 years,11,49,Contributor,Contributor,3,1,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/27270
KUNTAL SARKAR,Email spam or not spam classification,3 years,1,49,Novice,Novice,0,0,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/78970
Firat Gonen,5 Beginner Friendly Steps to Learn Machine Learning and Data Science with Python,3 years,66,49,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/107622
David Tang,Tip: Creating Table of Contents in a Notebook / Kernel,3 years,15,49,Expert,Expert,119,199,6,5,1044,98,https://www.kaggle.com/getting-started/107641
Bulent Siyah,ImageNet Winning CNN Architectures (ILSVRC),2 years,29,49,Master,Expert,345,185,2,2,906,212,https://www.kaggle.com/getting-started/149448
Marília Prata,Why sharing public work is so important. Don't bother about medals and rankings.,2 months,100,49,Master,Master,1979,7608,69,37,4,4,https://www.kaggle.com/getting-started/299783
Alexander Butakov,How to start a junior (my experience),3 years,56,48,Expert,Expert,42,85,7,2,1988,177,https://www.kaggle.com/getting-started/86622
reda abdou,2 months of data science for free with DataCamp,3 years,50,48,Expert,Contributor,26,25,4,3,Unranked,Unranked,https://www.kaggle.com/getting-started/106115
Marco Vasquez E,Top 10 Machine Learning Courses [2019] 💥,2 years,65,47,Master,Expert,268,348,8,8,710,78,https://www.kaggle.com/getting-started/108343
shivan kumar,A complete journey to become a data scientist.,2 years,39,48,Master,Expert,335,186,18,8,492,101,https://www.kaggle.com/getting-started/146427
Ravi Chaubey,10 EASY PYTHON PROGRAMMING PROJECT FOR BEGINNERS !!,a year,12,48,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/187011
Atharva Ingle,10 tips to learn Machine Learning effectively,a year,52,48,Expert,Expert,112,111,7,4,493,385,https://www.kaggle.com/getting-started/206227
Raju Kumar Mishra,matplotlib : Many Python notebooks to learn data visualization with matplotlib,2 years,9,47,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/111712
Ravi Chaubey,Data Science in Agriculture !!!,2 years,19,47,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/152335
Ruchi Bhatia,Twint: Twitter data scraping made easy!,a year,44,47,Grandmaster,Master,3037,327,37,25,113,44,https://www.kaggle.com/getting-started/186693
Ryan Holbrook,Feature Engineering Course Discussion,a year,220,47,Team,Expert,920,146,12,15,Unranked,Unranked,https://www.kaggle.com/getting-started/221677
Ahmed Shahriar Sakib,Cheat Sheets for Machine Learning Interview Topics,9 months,56,47,Expert,Expert,48,389,10,5,149,149,https://www.kaggle.com/getting-started/244885
Abhishek Thakur,Approaching (Almost) Any Machine Learning Problem,6 years,9,46,Grandmaster,Grandmaster,15933,871,146,145,9,2,https://www.kaggle.com/getting-started/22360
sabahsuhail,depression datasets,5 years,5,46,Novice,Novice,0,0,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/25633
Prashant Banerjee,Commonly used ML Algorithms (with Python and R codes),2 years,31,46,Grandmaster,Grandmaster,1330,465,42,51,240,18,https://www.kaggle.com/getting-started/116613
Fares Sayah,🤖Python Machine Learning Projects📈Book📔,2 years,9,46,Master,Expert,899,254,18,11,463,68,https://www.kaggle.com/getting-started/123741
Ravi Chaubey,Machine Learning Project Checklist !!!,2 years,11,46,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/151356
Mohaiminul Islam,Some Useful Cheat Sheets,a year,43,46,Master,Expert,50,65,3,4,1119,370,https://www.kaggle.com/getting-started/192866
Anaida Shaginian,Computer vision path for totally beginner,a year,31,46,Contributor,Contributor,12,9,1,1,Unranked,Unranked,https://www.kaggle.com/getting-started/229193
Vetrivel-PS,[Beginner to Expert] Top 10 Tools to Package ML Models,9 months,107,46,Expert,Expert,363,94,2,6,491,260,https://www.kaggle.com/getting-started/245970
Bai Li,Useful properties of ROC curves and AUC scoring,4 years,8,45,Contributor,Contributor,8,3,1,1,Unranked,Unranked,https://www.kaggle.com/getting-started/53782
Ranjeet Jain,Best data science sites,3 years,67,45,Expert,Expert,36,55,0,2,2238,510,https://www.kaggle.com/getting-started/67666
Nitin Singh,Import large Google Drive files directly into your Kernel,2 years,31,45,Contributor,Contributor,7,3,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/122274
Alexis Cook,Data Cleaning Course Discussion,2 years,288,45,Team,Expert,4494,134,14,16,Unranked,Unranked,https://www.kaggle.com/getting-started/172650
Sourav Banerjee,📓 Free Books to Learn Machine Learning and Data Science Effectively 📚,7 months,81,45,Grandmaster,Expert,141,281,1,11,150,113,https://www.kaggle.com/getting-started/263723
Shahules,My first kaggle swag prize,3 years,74,44,Grandmaster,Master,485,410,29,23,186,60,https://www.kaggle.com/getting-started/99068
Raju Kumar Mishra,Excellent collection of pandas notebooks,3 years,17,44,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/108106
Raju Kumar Mishra,10 Python library for evolutionary and genetic algorithm,2 years,2,44,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/112297
Mansi75,Best sources to learn Neural Network,a year,65,43,Expert,Expert,29,102,3,3,836,310,https://www.kaggle.com/getting-started/195640
Nanashi,How I became Master - Beginners Tips,3 years,45,43,Grandmaster,Grandmaster,1533,572,77,71,61,6,https://www.kaggle.com/getting-started/99116
Vijay Gupta,25 Tricks for Pandas!!,2 years,42,42,Expert,Expert,14,58,6,2,1900,254,https://www.kaggle.com/getting-started/110049
Ravi Chaubey,Complete Matplotlib tutorial,2 years,11,43,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/141047
Ravi Chaubey,9 Data Visualization Technique You need to Know !!,2 years,25,43,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/153074
Ravi Chaubey,Probability and Statistics for Data Science !!,2 years,10,43,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/156431
Alexis Cook,Pandas Course Discussion,2 years,615,43,Team,Expert,4494,134,14,16,Unranked,Unranked,https://www.kaggle.com/getting-started/161299
